 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
1,492,110,382,152407,0,TPD54,01-Registered,postRapalog_Cont/
2,231,110,120,262460,1,TPD54,01-Registered,postRapalog_Cont/
3,347,122,225,152407,0,ATG9,01-Registered,postRapalog_Cont/
4,237,122,115,262460,1,ATG9,01-Registered,postRapalog_Cont/
5,318,114,204,237948,0,TPD54,03-Registered,postRapalog_Cont/
6,174,114,60,435296,1,TPD54,03-Registered,postRapalog_Cont/
7,335,136,199,237948,0,ATG9,03-Registered,postRapalog_Cont/
8,282,136,146,435296,1,ATG9,03-Registered,postRapalog_Cont/
9,453,111,342,265022,0,TPD54,09-Registered,postRapalog_Cont/
10,211,111,100,328094,1,TPD54,09-Registered,postRapalog_Cont/
11,330,117,213,265022,0,ATG9,09-Registered,postRapalog_Cont/
12,213,117,95,328094,1,ATG9,09-Registered,postRapalog_Cont/
13,344,118,226,344182,0,TPD54,10-Registered,postRapalog_Cont/
14,169,118,51,397622,1,TPD54,10-Registered,postRapalog_Cont/
15,353,126,227,344182,0,ATG9,10-Registered,postRapalog_Cont/
16,230,126,104,397622,1,ATG9,10-Registered,postRapalog_Cont/
17,618,118,500,193770,0,TPD54,12-Registered,postRapalog_Cont/
18,265,118,147,235842,1,TPD54,12-Registered,postRapalog_Cont/
19,320,137,184,193770,0,ATG9,12-Registered,postRapalog_Cont/
20,274,137,138,235842,1,ATG9,12-Registered,postRapalog_Cont/
21,327,117,210,281914,0,TPD54,14-Registered,postRapalog_Cont/
22,155,117,38,353162,1,TPD54,14-Registered,postRapalog_Cont/
23,343,126,217,281914,0,ATG9,14-Registered,postRapalog_Cont/
24,267,126,141,353162,1,ATG9,14-Registered,postRapalog_Cont/
25,486,113,372,114173,0,TPD54,16-Registered,postRapalog_Cont/
26,196,113,82,228053,1,TPD54,16-Registered,postRapalog_Cont/
27,311,118,193,114173,0,ATG9,16-Registered,postRapalog_Cont/
28,211,118,92,228053,1,ATG9,16-Registered,postRapalog_Cont/
29,894,115,779,170077,0,TPD54,17-Registered,postRapalog_Cont/
30,221,115,106,310948,1,TPD54,17-Registered,postRapalog_Cont/
31,333,115,218,170077,0,ATG9,17-Registered,postRapalog_Cont/
32,215,115,100,310948,1,ATG9,17-Registered,postRapalog_Cont/
33,923,110,813,132287,0,TPD54,20-Registered,postRapalog_Cont/
34,317,110,207,239681,1,TPD54,20-Registered,postRapalog_Cont/
35,366,117,249,132287,0,ATG9,20-Registered,postRapalog_Cont/
36,248,117,130,239681,1,ATG9,20-Registered,postRapalog_Cont/
37,389,108,281,138615,0,TPD54,21-Registered,postRapalog_Cont/
38,138,108,29,264462,1,TPD54,21-Registered,postRapalog_Cont/
39,260,114,146,138615,0,ATG9,21-Registered,postRapalog_Cont/
40,180,114,66,264462,1,ATG9,21-Registered,postRapalog_Cont/
41,503,108,395,168289,0,TPD54,22-Registered,postRapalog_Cont/
42,228,108,120,160222,1,TPD54,22-Registered,postRapalog_Cont/
43,362,116,246,168289,0,ATG9,22-Registered,postRapalog_Cont/
44,239,116,124,160222,1,ATG9,22-Registered,postRapalog_Cont/
45,309,124,185,182703,0,TPD54,23-Registered,postRapalog_Cont/
46,157,124,33,230199,1,TPD54,23-Registered,postRapalog_Cont/
47,304,130,174,182703,0,ATG9,23-Registered,postRapalog_Cont/
48,213,130,83,230199,1,ATG9,23-Registered,postRapalog_Cont/
49,380,110,270,233056,0,TPD54,24-Registered,postRapalog_Cont/
50,191,110,82,389260,1,TPD54,24-Registered,postRapalog_Cont/
51,315,121,194,233056,0,ATG9,24-Registered,postRapalog_Cont/
52,248,121,128,389260,1,ATG9,24-Registered,postRapalog_Cont/
53,890,113,777,169084,0,TPD54,25-Registered,postRapalog_Cont/
54,343,113,230,278575,1,TPD54,25-Registered,postRapalog_Cont/
55,343,118,225,169084,0,ATG9,25-Registered,postRapalog_Cont/
56,250,118,132,278575,1,ATG9,25-Registered,postRapalog_Cont/
57,835,107,729,59512,0,TPD54,26-Registered,postRapalog_Cont/
58,298,107,191,141714,1,TPD54,26-Registered,postRapalog_Cont/
59,337,112,225,59512,0,ATG9,26-Registered,postRapalog_Cont/
60,224,112,112,141714,1,ATG9,26-Registered,postRapalog_Cont/
61,400,112,288,247631,0,TPD54,29-Registered,postRapalog_Cont/
62,227,112,115,318527,1,TPD54,29-Registered,postRapalog_Cont/
63,377,126,250,247631,0,ATG9,29-Registered,postRapalog_Cont/
64,281,126,155,318527,1,ATG9,29-Registered,postRapalog_Cont/
65,446,109,337,205586,0,TPD54,31-Registered,postRapalog_Cont/
66,199,109,89,389799,1,TPD54,31-Registered,postRapalog_Cont/
67,309,122,187,205586,0,ATG9,31-Registered,postRapalog_Cont/
68,246,122,124,389799,1,ATG9,31-Registered,postRapalog_Cont/
69,545,110,435,227482,0,TPD54,32-Registered,postRapalog_Cont/
70,241,110,131,345446,1,TPD54,32-Registered,postRapalog_Cont/
71,339,122,217,227482,0,ATG9,32-Registered,postRapalog_Cont/
72,244,122,122,345446,1,ATG9,32-Registered,postRapalog_Cont/
73,409,107,302,264730,0,TPD54,36-Registered,postRapalog_Cont/
74,213,107,106,322319,1,TPD54,36-Registered,postRapalog_Cont/
75,331,116,216,264730,0,ATG9,36-Registered,postRapalog_Cont/
76,241,116,126,322319,1,ATG9,36-Registered,postRapalog_Cont/
77,259,111,149,201431,0,TPD54,37-Registered,postRapalog_Cont/
78,142,111,31,248992,1,TPD54,37-Registered,postRapalog_Cont/
79,314,117,197,201431,0,ATG9,37-Registered,postRapalog_Cont/
80,227,117,110,248992,1,ATG9,37-Registered,postRapalog_Cont/
81,370,109,261,113775,0,TPD54,38-Registered,postRapalog_Cont/
82,184,109,75,259508,1,TPD54,38-Registered,postRapalog_Cont/
83,326,117,209,113775,0,ATG9,38-Registered,postRapalog_Cont/
84,237,117,120,259508,1,ATG9,38-Registered,postRapalog_Cont/
85,507,108,399,205372,0,TPD54,39-Registered,postRapalog_Cont/
86,174,108,66,296020,1,TPD54,39-Registered,postRapalog_Cont/
87,259,117,142,205372,0,ATG9,39-Registered,postRapalog_Cont/
88,190,117,73,296020,1,ATG9,39-Registered,postRapalog_Cont/
89,341,107,234,229948,0,TPD54,40-Registered,postRapalog_Cont/
90,171,107,63,340520,1,TPD54,40-Registered,postRapalog_Cont/
91,269,117,151,229948,0,ATG9,40-Registered,postRapalog_Cont/
92,194,117,76,340520,1,ATG9,40-Registered,postRapalog_Cont/
93,480,108,372,201938,0,TPD54,41-Registered,postRapalog_Cont/
94,200,108,92,257553,1,TPD54,41-Registered,postRapalog_Cont/
95,302,118,184,201938,0,ATG9,41-Registered,postRapalog_Cont/
96,209,118,91,257553,1,ATG9,41-Registered,postRapalog_Cont/
97,563,111,452,172574,0,TPD54,43-Registered,postRapalog_Cont/
98,249,111,138,246962,1,TPD54,43-Registered,postRapalog_Cont/
99,385,119,266,172574,0,ATG9,43-Registered,postRapalog_Cont/
100,268,119,149,246962,1,ATG9,43-Registered,postRapalog_Cont/
101,501,110,390,156420,0,TPD54,44-Registered,postRapalog_Cont/
102,212,110,102,305127,1,TPD54,44-Registered,postRapalog_Cont/
103,309,118,191,156420,0,ATG9,44-Registered,postRapalog_Cont/
104,236,118,118,305127,1,ATG9,44-Registered,postRapalog_Cont/
105,380,110,270,256030,0,TPD54,45-Registered,postRapalog_Cont/
106,203,110,93,253655,1,TPD54,45-Registered,postRapalog_Cont/
107,333,122,211,256030,0,ATG9,45-Registered,postRapalog_Cont/
108,250,122,128,253655,1,ATG9,45-Registered,postRapalog_Cont/
109,323,109,215,84627,0,TPD54,47-Registered,postRapalog_Cont/
110,159,109,51,164091,1,TPD54,47-Registered,postRapalog_Cont/
111,295,114,181,84627,0,ATG9,47-Registered,postRapalog_Cont/
112,232,114,118,164091,1,ATG9,47-Registered,postRapalog_Cont/
113,301,111,190,288425,0,TPD54,04-Registered,postRapalog_Mut/
114,147,111,36,331169,1,TPD54,04-Registered,postRapalog_Mut/
115,316,139,176,288425,0,ATG9,04-Registered,postRapalog_Mut/
116,254,139,114,331169,1,ATG9,04-Registered,postRapalog_Mut/
117,1047,116,931,187317,0,TPD54,05-Registered,postRapalog_Mut/
118,273,116,157,279377,1,TPD54,05-Registered,postRapalog_Mut/
119,323,147,177,187317,0,ATG9,05-Registered,postRapalog_Mut/
120,267,147,120,279377,1,ATG9,05-Registered,postRapalog_Mut/
121,1412,109,1303,109164,0,TPD54,06-Registered,postRapalog_Mut/
122,453,109,344,164462,1,TPD54,06-Registered,postRapalog_Mut/
123,356,128,227,109164,0,ATG9,06-Registered,postRapalog_Mut/
124,307,128,178,164462,1,ATG9,06-Registered,postRapalog_Mut/
125,493,113,379,284635,0,TPD54,07-Registered,postRapalog_Mut/
126,210,113,97,355079,1,TPD54,07-Registered,postRapalog_Mut/
127,323,143,180,284635,0,ATG9,07-Registered,postRapalog_Mut/
128,250,143,107,355079,1,ATG9,07-Registered,postRapalog_Mut/
129,831,111,720,175448,0,TPD54,09-Registered,postRapalog_Mut/
130,230,111,120,298342,1,TPD54,09-Registered,postRapalog_Mut/
131,357,134,223,175448,0,ATG9,09-Registered,postRapalog_Mut/
132,288,134,154,298342,1,ATG9,09-Registered,postRapalog_Mut/
133,394,109,285,161810,0,TPD54,10-Registered,postRapalog_Mut/
134,161,109,52,229289,1,TPD54,10-Registered,postRapalog_Mut/
135,367,139,228,161810,0,ATG9,10-Registered,postRapalog_Mut/
136,311,139,171,229289,1,ATG9,10-Registered,postRapalog_Mut/
137,994,108,886,175966,0,TPD54,11-Registered,postRapalog_Mut/
138,262,108,154,299835,1,TPD54,11-Registered,postRapalog_Mut/
139,439,142,297,175966,0,ATG9,11-Registered,postRapalog_Mut/
140,328,142,186,299835,1,ATG9,11-Registered,postRapalog_Mut/
141,512,107,405,160031,0,TPD54,12-Registered,postRapalog_Mut/
142,165,107,58,292594,1,TPD54,12-Registered,postRapalog_Mut/
143,269,123,146,160031,0,ATG9,12-Registered,postRapalog_Mut/
144,217,123,94,292594,1,ATG9,12-Registered,postRapalog_Mut/
145,735,108,627,59574,0,TPD54,14-Registered,postRapalog_Mut/
146,238,108,130,114073,1,TPD54,14-Registered,postRapalog_Mut/
147,319,125,195,59574,0,ATG9,14-Registered,postRapalog_Mut/
148,234,125,109,114073,1,ATG9,14-Registered,postRapalog_Mut/
149,479,108,371,62000,0,TPD54,15-Registered,postRapalog_Mut/
150,157,108,50,124474,1,TPD54,15-Registered,postRapalog_Mut/
151,269,124,145,62000,0,ATG9,15-Registered,postRapalog_Mut/
152,222,124,98,124474,1,ATG9,15-Registered,postRapalog_Mut/
153,1088,109,979,69947,0,TPD54,16-Registered,postRapalog_Mut/
154,232,109,122,139903,1,TPD54,16-Registered,postRapalog_Mut/
155,279,133,146,69947,0,ATG9,16-Registered,postRapalog_Mut/
156,216,133,83,139903,1,ATG9,16-Registered,postRapalog_Mut/
157,1356,113,1243,118948,0,TPD54,17-Registered,postRapalog_Mut/
158,436,113,323,284612,1,TPD54,17-Registered,postRapalog_Mut/
159,299,145,154,118948,0,ATG9,17-Registered,postRapalog_Mut/
160,245,145,100,284612,1,ATG9,17-Registered,postRapalog_Mut/
161,328,107,221,225907,0,TPD54,20-Registered,postRapalog_Mut/
162,129,107,21,226141,1,TPD54,20-Registered,postRapalog_Mut/
163,292,130,162,225907,0,ATG9,20-Registered,postRapalog_Mut/
164,218,130,88,226141,1,ATG9,20-Registered,postRapalog_Mut/
165,369,107,262,148522,0,TPD54,21-Registered,postRapalog_Mut/
166,149,107,41,235934,1,TPD54,21-Registered,postRapalog_Mut/
167,318,126,192,148522,0,ATG9,21-Registered,postRapalog_Mut/
168,264,126,138,235934,1,ATG9,21-Registered,postRapalog_Mut/
169,575,105,470,219316,0,TPD54,22-Registered,postRapalog_Mut/
170,196,105,90,312657,1,TPD54,22-Registered,postRapalog_Mut/
171,295,124,171,219316,0,ATG9,22-Registered,postRapalog_Mut/
172,236,124,112,312657,1,ATG9,22-Registered,postRapalog_Mut/
173,236,106,130,187237,0,TPD54,23-Registered,postRapalog_Mut/
174,131,106,25,355794,1,TPD54,23-Registered,postRapalog_Mut/
175,258,132,126,187237,0,ATG9,23-Registered,postRapalog_Mut/
176,211,132,80,355794,1,ATG9,23-Registered,postRapalog_Mut/
177,314,107,207,82486,0,TPD54,24-Registered,postRapalog_Mut/
178,135,107,28,156934,1,TPD54,24-Registered,postRapalog_Mut/
179,255,130,125,82486,0,ATG9,24-Registered,postRapalog_Mut/
180,200,130,70,156934,1,ATG9,24-Registered,postRapalog_Mut/
181,265,108,158,87802,0,TPD54,25-Registered,postRapalog_Mut/
182,139,108,31,78194,1,TPD54,25-Registered,postRapalog_Mut/
183,332,126,206,87802,0,ATG9,25-Registered,postRapalog_Mut/
184,256,126,130,78194,1,ATG9,25-Registered,postRapalog_Mut/
185,1290,108,1182,56585,0,TPD54,26-Registered,postRapalog_Mut/
186,334,108,226,115270,1,TPD54,26-Registered,postRapalog_Mut/
187,342,122,220,56585,0,ATG9,26-Registered,postRapalog_Mut/
188,241,122,118,115270,1,ATG9,26-Registered,postRapalog_Mut/
189,584,109,475,100685,0,TPD54,27-Registered,postRapalog_Mut/
190,186,109,77,215365,1,TPD54,27-Registered,postRapalog_Mut/
191,362,124,237,100685,0,ATG9,27-Registered,postRapalog_Mut/
192,284,124,159,215365,1,ATG9,27-Registered,postRapalog_Mut/
193,1138,114,1025,191890,0,TPD54,28-Registered,postRapalog_Mut/
194,308,114,194,231768,1,TPD54,28-Registered,postRapalog_Mut/
195,342,123,219,191890,0,ATG9,28-Registered,postRapalog_Mut/
196,254,123,131,231768,1,ATG9,28-Registered,postRapalog_Mut/
197,886,109,777,136932,0,TPD54,29-Registered,postRapalog_Mut/
198,339,109,229,283896,1,TPD54,29-Registered,postRapalog_Mut/
199,264,129,135,136932,0,ATG9,29-Registered,postRapalog_Mut/
200,233,129,104,283896,1,ATG9,29-Registered,postRapalog_Mut/
201,988,109,879,145568,0,TPD54,30-Registered,postRapalog_Mut/
202,294,109,185,229498,1,TPD54,30-Registered,postRapalog_Mut/
203,378,132,247,145568,0,ATG9,30-Registered,postRapalog_Mut/
204,290,132,159,229498,1,ATG9,30-Registered,postRapalog_Mut/
205,567,110,457,167084,0,TPD54,31-Registered,postRapalog_Mut/
206,241,110,131,264643,1,TPD54,31-Registered,postRapalog_Mut/
207,379,139,240,167084,0,ATG9,31-Registered,postRapalog_Mut/
208,298,139,159,264643,1,ATG9,31-Registered,postRapalog_Mut/
209,839,106,732,65105,0,TPD54,32-Registered,postRapalog_Mut/
210,308,106,202,145606,1,TPD54,32-Registered,postRapalog_Mut/
211,377,129,248,65105,0,ATG9,32-Registered,postRapalog_Mut/
212,310,129,181,145606,1,ATG9,32-Registered,postRapalog_Mut/
213,642,106,536,147696,0,TPD54,33-Registered,postRapalog_Mut/
214,174,106,68,276490,1,TPD54,33-Registered,postRapalog_Mut/
215,329,134,195,147696,0,ATG9,33-Registered,postRapalog_Mut/
216,274,134,141,276490,1,ATG9,33-Registered,postRapalog_Mut/
217,802,111,691,159370,0,TPD54,34-Registered,postRapalog_Mut/
218,211,111,100,269364,1,TPD54,34-Registered,postRapalog_Mut/
219,287,149,138,159370,0,ATG9,34-Registered,postRapalog_Mut/
220,243,149,94,269364,1,ATG9,34-Registered,postRapalog_Mut/
221,709,108,601,206661,0,TPD54,35-Registered,postRapalog_Mut/
222,246,108,138,279215,1,TPD54,35-Registered,postRapalog_Mut/
223,432,148,284,206661,0,ATG9,35-Registered,postRapalog_Mut/
224,339,148,191,279215,1,ATG9,35-Registered,postRapalog_Mut/
225,750,108,642,270477,0,TPD54,36-Registered,postRapalog_Mut/
226,250,108,142,278553,1,TPD54,36-Registered,postRapalog_Mut/
227,381,139,242,270477,0,ATG9,36-Registered,postRapalog_Mut/
228,296,139,157,278553,1,ATG9,36-Registered,postRapalog_Mut/
229,749,109,641,194839,0,TPD54,37-Registered,postRapalog_Mut/
230,258,109,149,254147,1,TPD54,37-Registered,postRapalog_Mut/
231,374,138,237,194839,0,ATG9,37-Registered,postRapalog_Mut/
232,285,138,148,254147,1,ATG9,37-Registered,postRapalog_Mut/
233,720,108,611,242685,0,TPD54,38-Registered,postRapalog_Mut/
234,227,108,119,300107,1,TPD54,38-Registered,postRapalog_Mut/
235,365,137,228,242685,0,ATG9,38-Registered,postRapalog_Mut/
236,284,137,147,300107,1,ATG9,38-Registered,postRapalog_Mut/
237,530,108,422,218395,0,TPD54,39-Registered,postRapalog_Mut/
238,236,108,128,333137,1,TPD54,39-Registered,postRapalog_Mut/
239,374,126,249,218395,0,ATG9,39-Registered,postRapalog_Mut/
240,282,126,156,333137,1,ATG9,39-Registered,postRapalog_Mut/
241,320,109,211,157302,0,TPD54,40-Registered,postRapalog_Mut/
242,150,109,40,167576,1,TPD54,40-Registered,postRapalog_Mut/
243,307,135,172,157302,0,ATG9,40-Registered,postRapalog_Mut/
244,237,135,102,167576,1,ATG9,40-Registered,postRapalog_Mut/
245,755,109,646,131478,0,TPD54,41-Registered,postRapalog_Mut/
246,238,109,128,199545,1,TPD54,41-Registered,postRapalog_Mut/
247,395,139,256,131478,0,ATG9,41-Registered,postRapalog_Mut/
248,275,139,135,199545,1,ATG9,41-Registered,postRapalog_Mut/
249,388,110,278,188920,0,TPD54,42-Registered,postRapalog_Mut/
250,166,110,56,205955,1,TPD54,42-Registered,postRapalog_Mut/
251,405,140,265,188920,0,ATG9,42-Registered,postRapalog_Mut/
252,290,140,151,205955,1,ATG9,42-Registered,postRapalog_Mut/
253,884,109,774,312970,0,TPD54,44-Registered,postRapalog_Mut/
254,340,109,230,323383,1,TPD54,44-Registered,postRapalog_Mut/
255,327,132,196,312970,0,ATG9,44-Registered,postRapalog_Mut/
256,263,132,132,323383,1,ATG9,44-Registered,postRapalog_Mut/
257,1185,107,1078,91298,0,TPD54,46-Registered,postRapalog_Mut/
258,287,107,180,179330,1,TPD54,46-Registered,postRapalog_Mut/
259,321,129,192,91298,0,ATG9,46-Registered,postRapalog_Mut/
260,229,129,100,179330,1,ATG9,46-Registered,postRapalog_Mut/
261,782,109,673,140679,0,TPD54,49-Registered,postRapalog_Mut/
262,218,109,109,233604,1,TPD54,49-Registered,postRapalog_Mut/
263,302,126,176,140679,0,ATG9,49-Registered,postRapalog_Mut/
264,222,126,96,233604,1,ATG9,49-Registered,postRapalog_Mut/
265,459,107,352,162714,0,TPD54,51-Registered,postRapalog_Mut/
266,163,107,56,214099,1,TPD54,51-Registered,postRapalog_Mut/
267,351,119,232,162714,0,ATG9,51-Registered,postRapalog_Mut/
268,231,119,112,214099,1,ATG9,51-Registered,postRapalog_Mut/
269,211,106,105,216546,0,TPD54,52-Registered,postRapalog_Mut/
270,125,106,19,269439,1,TPD54,52-Registered,postRapalog_Mut/
271,337,121,216,216546,0,ATG9,52-Registered,postRapalog_Mut/
272,240,121,119,269439,1,ATG9,52-Registered,postRapalog_Mut/
273,493,109,385,220939,0,TPD54,01-Registered,postRapalog_WT/
